iter	Passed	Remaining
871	7482	1098
872	7491	1089
873	7499	1081
874	7507	1072
875	7516	1063
876	7525	1055
877	7534	1046
878	7542	1038
879	7552	1029
880	7561	1021
881	7568	1012
882	7577	1004
883	7586	995
884	7594	986
885	7604	978
886	7613	969
887	7621	961
888	7629	952
889	7639	944
890	7649	935
891	7656	927
892	7665	918
893	7673	909
894	7682	901
895	7691	892
896	7700	884
897	7709	875
898	7718	867
899	7725	858
900	7733	849
901	7742	841
902	7751	832
903	7760	824
904	7769	815
905	7776	806
906	7785	798
907	7794	789
908	7804	781
909	7813	772
910	7822	764
911	7830	755
912	7839	747
913	7848	738
914	7856	729
915	7865	721
916	7875	712
917	7883	704
918	7892	695
919	7899	686
920	7909	678
921	7918	669
922	7927	661
923	7934	652
924	7944	644
925	7952	635
926	7961	626
927	7969	618
928	7978	609
929	7987	601
930	7995	592
931	8003	583
932	8012	575
933	8021	566
934	8030	558
935	8039	549
936	8048	541
937	8058	532
938	8067	524
939	8076	515
940	8087	507
941	8096	498
942	8107	490
943	8116	481
944	8123	472
945	8131	464
946	8139	455
947	8147	446
948	8157	438
949	8167	429
950	8175	421
951	8183	412
952	8192	404
953	8199	395
954	8207	386
955	8215	378
956	8222	369
957	8230	360
958	8237	352
959	8246	343
960	8253	334
961	8262	326
962	8270	317
963	8279	309
964	8288	300
965	8295	291
966	8303	283
967	8312	274
968	8320	266
969	8326	257
970	8337	249
971	8347	240
972	8355	231
973	8364	223
974	8374	214
975	8382	206
976	8391	197
977	8399	188
978	8407	180
979	8417	171
980	8426	163
981	8435	154
982	8443	146
983	8454	137
984	8461	128
985	8471	120
986	8480	111
987	8490	103
988	8500	94
989	8508	85
990	8518	77
991	8528	68
992	8536	60
993	8544	51
994	8552	42
995	8560	34
996	8568	25
997	8577	17
998	8585	8
999	8594	0
